"","annotid","n","ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","id","subj","month","SubjectNumber","audio_video","tier"
"98","0x803f91",2,NA,6202280,6202460,"hand","q","n","MOT","hand","42_13_audio_sparse_code.csv","42","13","42_13","audio",NA
"99","0x83be5b",2,NA,7996490,7997940,"nurse","d","n","MOT","nurse","12_15_audio_sparse_code.csv","12","15","12_15","audio",NA
"100","0x83be5b",2,NA,33595630,33597340,"hands","n","y","AUN","hand","12_07_audio_sparse_code.csv","12","07","12_07","audio",NA
"101","0x873f81",2,115,790610,791800,"Purple+cat","r","y","MOT","cat","41_14_video_sparse_code.csv","41","14","41_14","video",NA
"102","0x873f81",2,36,1802137,1803243,"thumb","s","y","FAT","thumb","30_08_video_sparse_code.csv","30","08","30_08","video",NA
"103","0x89d77d",2,NA,35786550,35787350,"tea","d","y","TOY","tea","02_13_audio_sparse_code.csv","02","13","02_13","audio",NA
"104","0x89d77d",2,125,3228198,3230850,"doors","i","n","GRM","door","15_12_video_sparse_code.csv","15","12","15_12","video",NA
"105","0x8a1393",2,NA,16247570,16248570,"legs","q","n","MOT","leg","33_06_audio_sparse_code.csv","33","06","33_06","audio",NA
"106","0x8a1393",2,175,2368729,2369830,"camera","i","n","MOT","camera","42_15_video_sparse_code.csv","42","15","42_15","video",NA
"107","0x8a55c1",2,129,3377269,3378571,"guitar","n","y","FAT","guitar","31_07_video_sparse_code.csv","31","07","31_07","video",NA
"108","0x8a55c1",2,84,901753,903425,"vitamin+c","d","y","MOT","vitamin+c","44_14_video_sparse_code.csv","44","14","44_14","video",NA
"109","0x8c239a",2,NA,37054230,37055620,"toe","q","n","FAT","toe","15_15_audio_sparse_code.csv","15","15","15_15","audio",NA
"110","0x8c239a",2,NA,16725910,16727320,"hands","d","y","MOT","hand","09_12_audio_sparse_code.csv","09","12","09_12","audio",NA
"111","0x91e74c",2,15,398141,402357,"box","q","y","MOT","box","35_07_video_sparse_code.csv","35","07","35_07","video",NA
"112","0x91e74c",2,77,510094,511767,"cheerios","d","y","MOT","cheerios","42_14_video_sparse_code.csv","42","14","42_14","video",NA
"113","0x920fdf",2,NA,12275870,12278250,"bear","q","y","FAT","bear","19_16_audio_sparse_code.csv","19","16","19_16","audio",NA
