"ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","annotid","id","subj","month","SubjectNumber","audio_video","tier"
NA,20825910,20828640,"shed","d","n","TOY","shed","0x1ea7c5","09_14_audio_sparse_code.csv","09","14","09_14","audio","*OLN"
29,460410,461738,"lamp","d","y","SIS","lamp","0x1fec5a","14_08_video_sparse_code.csv","14","08","14_08","video",NA
NA,20467140,20472340,"water+table","d","n","MOT","table","0x1fec5a","07_12_audio_sparse_code.csv","07","12","07_12","audio","*FAN"
204,1672995,1675319,"cake","s","n","MOT","cake","0x2a1780","41_14_video_sparse_code.csv","41","14","41_14","video",NA
41,201670,203709,"doll","d","n","TVS","doll","0x2a1780","44_15_video_sparse_code.csv","44","15","44_15","video",NA
128,2651932,2654006,"candle","q","n","FAT","candle","0x2ccbbf","38_14_video_sparse_code.csv","38","14","38_14","video",NA
NA,1948280,1950580,"bee","r","y","MOT","bee","0x2ccbbf","27_14_audio_sparse_code.csv","27","14","27_14","audio","*FAN"
187,3585388,3586256,"button","n","y","MOT","button","0x2e130d","04_13_video_sparse_code.csv","04","13","04_13","video",NA
226,2778344,2780452,"eyes","s","n","TVN","eye","0x2e130d","44_14_video_sparse_code.csv","44","14","44_14","video",NA
42,328037,329722,"bat","d","n","SIS","bat","0x30c89c","18_11_video_sparse_code.csv","18","11","18_11","video",NA
88,1150095,1152358,"water","n","n","SIS","water","0x30c89c","10_12_video_sparse_code.csv","10","12","10_12","video",NA
NA,34458940,34461810,"drops","q","n","MOT","drops","0xcab6dd","23_07_audio_sparse_code.csv","23","07","23_07","audio","*FAN"
NA,39076530,39078380,"bracelet","q","y","GRM","bracelet","0x344589","19_10_audio_sparse_code.csv","19","10","19_10","audio","*FAN"
NA,34457140,34458930,"knee","s","n","UAT","knee","0x9f8f95","41_10_audio_sparse_code.csv","41","10","41_10","audio","*FAN"
NA,34457140,34458930,"toes","s","n","UAT","toe","0x700076","41_10_audio_sparse_code.csv","41","10","41_10","audio","*FAN"
NA,9659380,9660540,"ball","n","y","GRA","ball","0x344589","13_15_audio_sparse_code.csv","13","15","13_15","audio","*SIL"
NA,34458980,34460510,"head","r","y","MOT","head","0x776f9e","16_15_audio_sparse_code.csv","16","15","16_15","audio","*FAN"
NA,5624750,5625470,"sand","r","n","MOT","sand","0x38641d","03_06_audio_sparse_code.csv","03","06","03_06","audio","*CXN"
NA,24346230,24347480,"windows","q","n","SIS","window","0x38641d","18_15_audio_sparse_code.csv","18","15","18_15","audio","*CHN"
354,2606444,2607868,"tunnel","q","y","MOT","tunnel","0x3a2a7e","42_14_video_sparse_code.csv","42","14","42_14","video",NA
NA,36933330,36934540,"news","d","y","FAT","news","0x3a2a7e","46_13_audio_sparse_code.csv","46","13","46_13","audio","*FAN"
254,3169587,3171686,"cat+shoes","q","n","MOT","shoe","0x3f417b","10_15_video_sparse_code.csv","10","15","10_15","video",NA
NA,2315290,2316410,"jammies","d","n","CHI","jammies","0x3f417b","01_17_audio_sparse_code.csv","01","17","01_17","audio","*CHN"
268,2584476,2586312,"elephant","q","y","MOT","elephant","0x40856a","14_14_video_sparse_code.csv","14","14","14_14","video",NA
169,3069000,3070300,"Dancing+douglas","d","y","MOT","Dancing+douglas","0x40856a","25_14_video_sparse_code.csv","25","14","25_14","video",NA
NA,36016220,36024690,"one","n","y","TOY","one","0x47b6bf","21_10_audio_sparse_code.csv","21","10","21_10","audio","*OLN"
